Date,Open,High,Low,Close
2017-07-06,113.22,113.43,112.89,113.19
2017-07-07,113.17,114.14,113.11,113.92
2017-07-10,113.92,114.26,113.91,114.02
2017-07-11,114.02,114.46,113.72,113.92
2017-07-12,113.93,113.94,112.93,113.15
2017-07-13,113.18,113.48,112.86,113.27
2017-07-14,113.27,113.53,112.26,112.5
2017-07-17,112.48,112.83,112.33,112.61
2017-07-18,112.63,112.63,111.69,112.04
2017-07-19,112.01,112.19,111.55,111.9
2017-07-20,111.87,112.38,111.48,111.88
2017-07-21,111.84,112.04,111.0,111.11
2017-07-24,111.11,111.28,110.63,111.08
2017-07-25,111.1,111.92,110.83,111.86
2017-07-26,111.84,112.14,111.07,111.14
2017-07-27,111.14,111.67,110.78,111.27
2017-07-28,111.26,111.31,110.55,110.66
2017-07-31,110.58,110.73,110.22,110.27
2017-08-01,110.24,110.55,109.93,110.36
2017-08-02,110.35,110.94,110.29,110.73
2017-08-03,110.69,110.79,109.85,110.0
2017-08-04,109.98,111.01,109.85,110.7
2017-08-07,110.72,110.88,110.65,110.71
2017-08-08,110.75,110.79,110.25,110.32
2017-08-09,110.33,110.36,109.54,110.04
2017-08-10,109.97,110.14,109.14,109.2
2017-08-11,109.17,109.36,108.71,109.13
2017-08-14,109.13,109.76,109.09,109.64
2017-08-15,109.64,110.81,109.61,110.66
2017-08-16,110.62,110.91,110.03,110.18
2017-08-17,110.18,110.32,109.44,109.55
2017-08-18,109.5,109.56,108.6,109.2
2017-08-21,109.19,109.38,108.64,108.95
2017-08-22,108.95,109.61,108.85,109.54
2017-08-23,109.55,109.78,108.92,109.01
2017-08-24,109.01,109.56,108.85,109.52
2017-08-25,109.52,109.81,109.12,109.31
2017-08-28,109.31,109.38,109.02,109.23
2017-08-29,108.97,109.86,108.27,109.72
2017-08-30,109.62,110.4,109.49,110.22
2017-08-31,110.25,110.63,109.88,109.99
2017-09-01,109.94,110.41,109.51,110.26
2017-09-04,109.9,109.9,109.38,109.66
2017-09-05,109.66,109.79,108.63,108.79
2017-09-06,108.75,109.36,108.45,109.22
2017-09-07,109.22,109.26,108.0,108.47
2017-09-08,108.47,108.47,107.3,107.77
2017-09-11,108.37,109.47,108.17,109.36
2017-09-12,109.37,110.21,109.21,110.15
2017-09-13,110.1,110.66,109.9,110.47
2017-09-14,110.46,111.01,110.07,110.22
2017-09-15,110.22,111.29,109.56,110.85
2017-09-18,110.97,111.62,110.97,111.55
2017-09-19,111.54,111.85,111.21,111.58
2017-09-20,111.54,112.49,110.95,112.15
2017-09-21,112.22,112.68,112.14,112.47
